,RLG Index,RLV Index,VIX Index,,,,RLG Index,RLV Index,,,,,,,,,,
,PX_LAST,PX_LAST,PX_LAST,Spread,,,Return,Return,,,,,,,,,,
#NAME?,200.00,#NAME?,#NAME?,,,,,,,,,,,,,,,
9/1/92,201.17,200.83,13.40,#NAME?,,,0.58%,#NAME?,,,vix_index,r_growth_(t-1),r_value_(t-1),p_growth_(t-1),p_value_(t-1),p_joint_(t-1),p_spread_(t-1),spread
9/2/92,202.09,201.85,12.73,0.05%,,,0.46%,0.51%,,9/2/92,13.40%,0.5850%,#NAME?,66.2584%,#NAME?,62.09%,#NAME?,0.0506%
9/3/92,202.61,201.51,12.88,-0.43%,,,0.26%,-0.17%,,9/3/92,12.73%,0.4573%,0.5079%,62.6721%,#NAME?,61.52%,#NAME?,-0.4258%
9/4/92,202.34,200.96,12.98,-0.14%,,,-0.13%,-0.27%,,9/4/92,12.88%,0.2573%,-0.1684%,56.8380%,#NAME?,33.47%,#NAME?,-0.1397%
9/7/92,202.34,200.96,12.98,0.00%,,,0.00%,0.00%,,9/7/92,12.98%,-0.1333%,-0.2729%,45.1263%,#NAME?,24.43%,#NAME?,0.0000%
9/8/92,201.25,199.49,13.65,-0.19%,,,-0.54%,-0.73%,,9/8/92,12.98%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,-0.1928%
9/9/92,202.25,200.25,13.36,-0.12%,,,0.50%,0.38%,,9/9/92,13.65%,-0.5387%,-0.7315%,33.4175%,#NAME?,11.95%,#NAME?,-0.1159%
9/10/92,204.03,201.79,12.92,-0.11%,,,0.88%,0.77%,,9/10/92,13.36%,0.4969%,0.3810%,63.7971%,#NAME?,59.42%,#NAME?,-0.1111%
9/11/92,204.47,201.41,12.47,-0.40%,,,0.22%,-0.19%,,9/11/92,12.92%,0.8801%,0.7690%,73.9630%,#NAME?,74.89%,#NAME?,-0.4040%
9/14/92,207.54,204.11,13.00,-0.16%,,,1.50%,1.34%,,9/14/92,12.47%,0.2157%,-0.1883%,55.5993%,#NAME?,32.24%,#NAME?,-0.1609%
9/15/92,204.99,201.66,13.63,0.03%,,,-1.23%,-1.20%,,9/15/92,13.00%,1.5014%,1.3405%,86.6731%,#NAME?,88.68%,#NAME?,0.0283%
9/16/92,205.29,201.24,14.72,-0.35%,,,0.15%,-0.21%,,9/16/92,13.63%,-1.2287%,-1.2003%,17.1292%,#NAME?,5.24%,#NAME?,-0.3546%
9/17/92,205.39,201.05,14.31,-0.14%,,,0.05%,-0.09%,,9/17/92,14.72%,0.1463%,-0.2083%,53.5269%,#NAME?,30.70%,#NAME?,-0.1431%
9/18/92,206.54,202.36,13.74,0.09%,,,0.56%,0.65%,,9/18/92,14.31%,0.0487%,-0.0944%,50.5922%,#NAME?,33.27%,#NAME?,0.0917%
9/21/92,206.13,202.19,13.45,0.11%,,,-0.20%,-0.08%,,9/21/92,13.74%,0.5599%,0.6516%,65.5640%,#NAME?,66.79%,#NAME?,0.1145%
9/22/92,203.45,200.38,13.88,0.40%,,,-1.30%,-0.90%,,9/22/92,13.45%,-0.1985%,-0.0840%,43.1834%,#NAME?,27.75%,#NAME?,0.4050%
9/23/92,203.69,200.23,13.83,-0.19%,,,0.12%,-0.07%,,9/23/92,13.88%,-1.3002%,-0.8952%,15.7930%,#NAME?,6.32%,#NAME?,-0.1928%
9/24/92,203.83,201.26,13.44,0.45%,,,0.07%,0.51%,,9/24/92,13.83%,0.1180%,-0.0749%,52.6750%,#NAME?,35.36%,#NAME?,0.4457%
9/25/92,200.78,200.19,14.80,0.96%,,,-1.50%,-0.53%,,9/25/92,13.44%,0.0687%,0.5144%,51.1947%,#NAME?,47.66%,#NAME?,0.9647%
9/28/92,201.37,201.13,15.19,0.18%,,,0.29%,0.47%,,9/28/92,14.80%,-1.4963%,-0.5317%,12.4856%,#NAME?,6.76%,#NAME?,0.1757%
9/29/92,201.62,201.31,14.97,-0.03%,,,0.12%,0.09%,,9/29/92,15.19%,0.2939%,0.4696%,57.9192%,#NAME?,55.99%,#NAME?,-0.0347%
9/30/92,201.95,202.26,14.28,0.31%,,,0.16%,0.47%,,9/30/92,14.97%,0.1241%,0.0895%,52.8607%,#NAME?,41.62%,#NAME?,0.3082%
10/1/92,201.16,201.57,16.31,0.05%,,,-0.39%,-0.34%,,10/1/92,14.28%,0.1637%,0.4719%,54.0461%,#NAME?,51.31%,#NAME?,0.0500%
10/2/92,198.23,199.11,17.79,0.24%,,,-1.46%,-1.22%,,10/2/92,16.31%,-0.3912%,-0.3411%,37.5583%,#NAME?,19.00%,#NAME?,0.2361%
10/5/92,196.84,197.53,20.01,-0.09%,,,-0.70%,-0.79%,,10/5/92,17.79%,-1.4566%,-1.2204%,13.1139%,#NAME?,4.49%,#NAME?,-0.0923%
10/6/92,196.59,198.01,19.95,0.37%,,,-0.13%,0.24%,,10/6/92,20.01%,-0.7012%,-0.7935%,29.0803%,#NAME?,10.17%,#NAME?,0.3700%
10/7/92,195.47,196.71,21.02,-0.09%,,,-0.57%,-0.66%,,10/7/92,19.95%,-0.1270%,0.2430%,45.3132%,#NAME?,36.15%,#NAME?,-0.0868%
10/8/92,197.61,197.84,19.26,-0.52%,,,1.09%,0.57%,,10/8/92,21.02%,-0.5697%,-0.6565%,32.5700%,#NAME?,12.54%,#NAME?,-0.5203%
10/9/92,195.19,195.68,20.51,0.13%,,,-1.22%,-1.09%,,10/9/92,19.26%,1.0948%,0.5744%,78.9364%,#NAME?,72.59%,#NAME?,0.1328%
10/12/92,197.05,197.95,19.49,0.21%,,,0.95%,1.16%,,10/12/92,20.51%,-1.2246%,-1.0918%,17.2070%,#NAME?,5.73%,#NAME?,0.2071%
10/13/92,198.32,198.69,17.90,-0.27%,,,0.64%,0.37%,,10/13/92,19.49%,0.9529%,1.1601%,75.7147%,#NAME?,80.99%,#NAME?,-0.2707%
10/14/92,198.79,198.25,18.42,-0.46%,,,0.24%,-0.22%,,10/14/92,17.90%,0.6445%,0.3738%,67.8830%,#NAME?,61.81%,#NAME?,-0.4584%
10/15/92,199.30,198.01,17.11,-0.38%,,,0.26%,-0.12%,,10/15/92,18.42%,0.2370%,-0.2215%,56.2346%,#NAME?,31.15%,#NAME?,-0.3776%
10/16/92,200.42,198.79,17.01,-0.17%,,,0.56%,0.39%,,10/16/92,17.11%,0.2566%,-0.1211%,56.8155%,#NAME?,35.49%,#NAME?,-0.1680%
10/19/92,202.46,200.08,17.31,-0.37%,,,1.02%,0.65%,,10/19/92,17.01%,0.5620%,0.3939%,65.6211%,#NAME?,61.07%,#NAME?,-0.3689%
10/20/92,202.66,200.41,16.87,0.07%,,,0.10%,0.16%,,10/20/92,17.31%,1.0179%,0.6489%,77.2215%,#NAME?,73.94%,#NAME?,0.0661%
10/21/92,202.91,200.45,16.62,-0.10%,,,0.12%,0.02%,,10/21/92,16.87%,0.0988%,0.1649%,52.0986%,#NAME?,43.11%,#NAME?,-0.1034%
10/22/92,202.60,199.91,15.84,-0.12%,,,-0.15%,-0.27%,,10/22/92,16.62%,0.1234%,0.0200%,52.8370%,#NAME?,39.14%,#NAME?,-0.1166%
10/23/92,201.87,200.12,16.46,0.47%,,,-0.36%,0.11%,,10/23/92,15.84%,-0.1528%,-0.2694%,44.5437%,#NAME?,24.19%,#NAME?,0.4654%
10/26/92,203.94,201.61,16.32,-0.28%,,,1.03%,0.74%,,10/26/92,16.46%,-0.3603%,0.1050%,38.4453%,#NAME?,26.83%,#NAME?,-0.2809%
10/27/92,204.01,201.64,16.24,-0.02%,,,0.03%,0.01%,,10/27/92,16.32%,1.0254%,0.7446%,77.3932%,#NAME?,76.17%,#NAME?,-0.0194%
10/28/92,204.77,202.55,15.95,0.08%,,,0.37%,0.45%,,10/28/92,16.24%,0.0343%,0.0149%,50.1591%,#NAME?,36.71%,#NAME?,0.0788%
10/29/92,205.62,202.85,15.47,-0.27%,,,0.42%,0.15%,,10/29/92,15.95%,0.3725%,0.4513%,60.2258%,#NAME?,58.05%,#NAME?,-0.2670%
10/30/92,204.83,201.98,16.15,-0.04%,,,-0.38%,-0.43%,,10/30/92,15.47%,0.4151%,0.1481%,61.4596%,#NAME?,49.96%,#NAME?,-0.0447%
11/2/92,206.82,203.52,16.67,-0.21%,,,0.97%,0.76%,,11/2/92,16.15%,-0.3842%,-0.4289%,37.7584%,#NAME?,17.63%,#NAME?,-0.2091%
11/3/92,205.31,202.59,17.33,0.27%,,,-0.73%,-0.46%,,11/3/92,16.67%,0.9715%,0.7625%,76.1521%,#NAME?,75.93%,#NAME?,0.2731%
11/4/92,204.03,201.53,16.28,0.10%,,,-0.62%,-0.52%,,11/4/92,17.33%,-0.7301%,-0.4570%,28.3374%,#NAME?,13.16%,#NAME?,0.1002%
11/5/92,205.25,201.82,15.38,-0.45%,,,0.60%,0.14%,,11/5/92,16.28%,-0.6234%,-0.5232%,31.1231%,#NAME?,13.57%,#NAME?,-0.4541%
11/6/92,205.29,201.46,14.69,-0.20%,,,0.02%,-0.18%,,11/6/92,15.38%,0.5980%,0.1439%,66.6147%,#NAME?,52.17%,#NAME?,-0.1979%
11/9/92,206.14,201.81,14.23,-0.24%,,,0.41%,0.17%,,11/9/92,14.69%,0.0195%,-0.1784%,49.7125%,#NAME?,29.83%,#NAME?,-0.2403%
11/10/92,206.76,201.57,14.37,-0.42%,,,0.30%,-0.12%,,11/10/92,14.23%,0.4140%,0.1737%,61.4293%,#NAME?,50.98%,#NAME?,-0.4197%
11/11/92,209.57,202.28,13.99,-1.01%,,,1.36%,0.35%,,11/11/92,14.37%,0.3008%,-0.1189%,58.1231%,#NAME?,36.06%,#NAME?,-1.0068%
11/12/92,209.83,202.42,14.37,-0.05%,,,0.12%,0.07%,,11/12/92,13.99%,1.3591%,0.3522%,84.2222%,#NAME?,65.75%,#NAME?,-0.0549%
11/13/92,209.72,202.41,14.61,0.05%,,,-0.05%,0.00%,,11/13/92,14.37%,0.1241%,0.0692%,52.8581%,#NAME?,40.93%,#NAME?,0.0475%
11/16/92,208.94,201.61,14.86,-0.02%,,,-0.37%,-0.40%,,11/16/92,14.61%,-0.0524%,-0.0049%,47.5492%,#NAME?,33.67%,#NAME?,-0.0233%
11/17/92,208.05,200.90,15.01,0.07%,,,-0.43%,-0.35%,,11/17/92,14.86%,-0.3719%,-0.3952%,38.1110%,#NAME?,18.35%,#NAME?,0.0738%
11/18/92,209.98,202.35,14.55,-0.21%,,,0.93%,0.72%,,11/18/92,15.01%,-0.4260%,-0.3522%,36.5671%,#NAME?,18.32%,#NAME?,-0.2059%
11/19/92,210.57,202.59,14.33,-0.16%,,,0.28%,0.12%,,11/19/92,14.55%,0.9277%,0.7218%,75.1145%,#NAME?,74.61%,#NAME?,-0.1624%
11/20/92,212.01,204.00,13.67,0.01%,,,0.68%,0.70%,,11/20/92,14.33%,0.2810%,0.1186%,57.5389%,#NAME?,46.34%,#NAME?,0.0121%
11/23/92,211.01,203.60,13.40,0.28%,,,-0.47%,-0.20%,,11/23/92,13.67%,0.6839%,0.6960%,68.9390%,#NAME?,70.32%,#NAME?,0.2756%
11/24/92,212.46,204.66,12.66,-0.17%,,,0.69%,0.52%,,11/24/92,13.40%,-0.4717%,-0.1961%,35.2775%,#NAME?,20.00%,#NAME?,-0.1665%
11/25/92,212.84,205.93,12.50,0.44%,,,0.18%,0.62%,,11/25/92,12.66%,0.6872%,0.5206%,69.0273%,#NAME?,66.67%,#NAME?,0.4417%
11/26/92,212.84,205.93,12.50,0.00%,,,0.00%,0.00%,,11/26/92,12.50%,0.1789%,0.6205%,54.5005%,#NAME?,53.57%,#NAME?,0.0000%
11/27/92,213.14,206.58,12.58,0.17%,,,0.14%,0.32%,,11/27/92,12.50%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.1747%
11/30/92,213.30,207.62,13.01,0.43%,,,0.08%,0.50%,,11/30/92,12.58%,0.1410%,0.3156%,53.3650%,#NAME?,47.94%,#NAME?,0.4284%
12/1/92,213.10,207.43,12.80,0.00%,,,-0.09%,-0.09%,,12/1/92,13.01%,0.0751%,0.5034%,51.3853%,#NAME?,47.85%,#NAME?,0.0023%
12/2/92,212.51,207.04,12.56,0.09%,,,-0.28%,-0.19%,,12/2/92,12.80%,-0.0938%,-0.0915%,46.3084%,#NAME?,30.10%,#NAME?,0.0889%
12/3/92,212.61,207.09,12.03,-0.02%,,,0.05%,0.02%,,12/3/92,12.56%,-0.2769%,-0.1880%,40.8721%,#NAME?,23.76%,#NAME?,-0.0229%
12/4/92,213.74,208.01,11.81,-0.09%,,,0.53%,0.44%,,12/4/92,12.03%,0.0471%,0.0241%,50.5424%,#NAME?,37.36%,#NAME?,-0.0872%
12/7/92,215.36,209.21,12.00,-0.18%,,,0.76%,0.58%,,12/7/92,11.81%,0.5315%,0.4443%,64.7710%,#NAME?,61.83%,#NAME?,-0.1810%
12/8/92,215.99,210.12,11.73,0.14%,,,0.29%,0.43%,,12/8/92,12.00%,0.7579%,0.5769%,70.8846%,#NAME?,69.15%,#NAME?,0.1424%
12/9/92,215.37,209.30,12.58,-0.10%,,,-0.29%,-0.39%,,12/9/92,11.73%,0.2925%,0.4350%,57.8803%,#NAME?,55.33%,#NAME?,-0.1032%
12/10/92,214.52,209.14,12.75,0.32%,,,-0.39%,-0.08%,,12/10/92,12.58%,-0.2871%,-0.3903%,40.5739%,#NAME?,19.57%,#NAME?,0.3182%
12/11/92,213.99,208.93,12.34,0.15%,,,-0.25%,-0.10%,,12/11/92,12.75%,-0.3947%,-0.0764%,37.4587%,#NAME?,23.40%,#NAME?,0.1467%
12/14/92,213.47,208.63,12.66,0.10%,,,-0.24%,-0.14%,,12/14/92,12.34%,-0.2471%,-0.1004%,41.7479%,#NAME?,26.25%,#NAME?,0.0994%
12/15/92,213.29,208.43,12.41,-0.01%,,,-0.08%,-0.10%,,12/15/92,12.66%,-0.2430%,-0.1436%,41.8676%,#NAME?,25.39%,#NAME?,-0.0115%
12/16/92,212.52,207.96,12.58,0.14%,,,-0.36%,-0.23%,,12/16/92,12.41%,-0.0843%,-0.0959%,46.5915%,#NAME?,30.20%,#NAME?,0.1355%
12/17/92,214.76,209.45,12.14,-0.34%,,,1.05%,0.72%,,12/17/92,12.58%,-0.3610%,-0.2255%,38.4252%,#NAME?,21.49%,#NAME?,-0.3375%
12/18/92,217.82,211.52,11.66,-0.44%,,,1.42%,0.99%,,12/18/92,12.14%,1.0540%,0.7165%,78.0370%,#NAME?,75.86%,#NAME?,-0.4365%
12/21/92,217.74,211.39,11.65,-0.02%,,,-0.04%,-0.06%,,12/21/92,11.66%,1.4248%,0.9883%,85.3891%,#NAME?,83.99%,#NAME?,-0.0247%
12/22/92,217.11,212.06,11.75,0.61%,,,-0.29%,0.32%,,12/22/92,11.65%,-0.0367%,-0.0615%,48.0209%,#NAME?,32.40%,#NAME?,0.6063%
12/23/92,215.98,212.20,11.51,0.59%,,,-0.52%,0.07%,,12/23/92,11.75%,-0.2893%,0.3169%,40.5070%,#NAME?,30.85%,#NAME?,0.5865%
12/24/92,216.51,212.23,11.57,-0.23%,,,0.25%,0.01%,,12/24/92,11.51%,-0.5205%,0.0660%,33.9195%,#NAME?,22.28%,#NAME?,-0.2313%
12/25/92,216.51,212.23,11.57,0.00%,,,0.00%,0.00%,,12/25/92,11.57%,0.2454%,0.0141%,56.4843%,#NAME?,41.35%,#NAME?,0.0000%
12/28/92,216.55,211.92,12.22,-0.16%,,,0.02%,-0.15%,,12/28/92,11.57%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,-0.1645%
12/29/92,216.03,211.85,12.29,0.21%,,,-0.24%,-0.03%,,12/29/92,12.22%,0.0185%,-0.1461%,49.6819%,#NAME?,30.88%,#NAME?,0.2071%
12/30/92,216.31,212.36,12.60,0.11%,,,0.13%,0.24%,,12/30/92,12.29%,-0.2401%,-0.0330%,41.9523%,#NAME?,27.85%,#NAME?,0.1111%
12/31/92,214.83,211.94,12.57,0.49%,,,-0.68%,-0.20%,,12/31/92,12.60%,0.1296%,0.2407%,53.0247%,#NAME?,45.99%,#NAME?,0.4864%
1/1/93,214.83,211.94,12.57,0.00%,,,0.00%,0.00%,,1/1/93,12.57%,-0.6842%,-0.1978%,29.5216%,#NAME?,16.39%,#NAME?,0.0000%
1/4/93,214.00,211.98,13.36,0.41%,,,-0.39%,0.02%,,1/4/93,12.57%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.4052%
1/5/93,213.10,211.77,13.35,0.32%,,,-0.42%,-0.10%,,1/5/93,13.36%,-0.3864%,0.0189%,37.6968%,#NAME?,25.05%,#NAME?,0.3215%
1/6/93,212.17,213.17,13.37,1.10%,,,-0.44%,0.66%,,1/6/93,13.35%,-0.4206%,-0.0991%,36.7204%,#NAME?,22.49%,#NAME?,1.0975%
1/7/93,210.44,211.42,14.72,-0.01%,,,-0.82%,-0.82%,,1/7/93,13.37%,-0.4364%,0.6611%,36.2708%,#NAME?,26.91%,#NAME?,-0.0056%
1/8/93,210.22,209.96,13.77,-0.59%,,,-0.10%,-0.69%,,1/8/93,14.72%,-0.8154%,-0.8209%,26.1998%,#NAME?,9.22%,#NAME?,-0.5860%
1/11/93,211.09,211.06,12.86,0.11%,,,0.41%,0.52%,,1/11/93,13.77%,-0.1045%,-0.6906%,45.9854%,#NAME?,15.66%,#NAME?,0.1101%
1/12/93,210.80,211.41,12.78,0.30%,,,-0.14%,0.17%,,1/12/93,12.86%,0.4139%,0.5239%,61.4236%,#NAME?,60.63%,#NAME?,0.3032%
1/13/93,211.55,212.89,12.42,0.34%,,,0.36%,0.70%,,1/13/93,12.78%,-0.1374%,0.1658%,45.0032%,#NAME?,34.69%,#NAME?,0.3443%
1/14/93,213.03,214.42,11.99,0.02%,,,0.70%,0.72%,,1/14/93,12.42%,0.3558%,0.7001%,59.7377%,#NAME?,61.26%,#NAME?,0.0191%
1/15/93,213.66,215.14,11.57,0.04%,,,0.30%,0.34%,,1/15/93,11.99%,0.6996%,0.7187%,69.3572%,#NAME?,71.02%,#NAME?,0.0401%
1/18/93,212.85,215.93,11.49,0.75%,,,-0.38%,0.37%,,1/18/93,11.57%,0.2957%,0.3358%,57.9747%,#NAME?,53.33%,#NAME?,0.7463%
1/19/93,211.00,216.53,12.06,1.15%,,,-0.87%,0.28%,,1/19/93,11.49%,-0.3791%,0.3672%,37.9046%,#NAME?,28.12%,#NAME?,1.1470%
1/20/93,210.54,215.38,12.15,-0.31%,,,-0.22%,-0.53%,,1/20/93,12.06%,-0.8692%,0.2779%,24.8957%,#NAME?,15.93%,#NAME?,-0.3131%
1/21/93,211.72,216.26,11.69,-0.15%,,,0.56%,0.41%,,1/21/93,12.15%,-0.2180%,-0.5311%,42.6057%,#NAME?,17.67%,#NAME?,-0.1519%
1/22/93,211.91,216.67,11.30,0.10%,,,0.09%,0.19%,,1/22/93,11.69%,0.5605%,0.4086%,65.5794%,#NAME?,61.46%,#NAME?,0.0998%
1/25/93,213.62,218.35,11.38,-0.03%,,,0.81%,0.78%,,1/25/93,11.30%,0.0897%,0.1896%,51.8267%,#NAME?,43.44%,#NAME?,-0.0316%
1/26/93,213.08,218.59,11.45,0.36%,,,-0.25%,0.11%,,1/26/93,11.38%,0.8069%,0.7754%,72.1400%,#NAME?,73.89%,#NAME?,0.3627%
1/27/93,211.81,217.76,12.01,0.22%,,,-0.60%,-0.38%,,1/27/93,11.45%,-0.2528%,0.1099%,41.5794%,#NAME?,30.03%,#NAME?,0.2163%
1/28/93,212.05,217.80,12.04,-0.09%,,,0.11%,0.02%,,1/28/93,12.01%,-0.5960%,-0.3797%,31.8582%,#NAME?,15.60%,#NAME?,-0.0949%
1/29/93,212.39,217.79,12.42,-0.16%,,,0.16%,0.00%,,1/29/93,12.04%,0.1133%,0.0184%,52.5351%,#NAME?,38.84%,#NAME?,-0.1649%
2/1/93,213.76,220.12,12.33,0.42%,,,0.65%,1.07%,,2/1/93,12.42%,0.1603%,-0.0046%,53.9462%,#NAME?,38.98%,#NAME?,0.4248%
2/2/93,213.33,220.88,12.25,0.55%,,,-0.20%,0.35%,,2/2/93,12.33%,0.6450%,1.0698%,67.8974%,#NAME?,73.76%,#NAME?,0.5464%
2/3/93,215.56,222.94,12.12,-0.11%,,,1.05%,0.93%,,2/3/93,12.25%,-0.2012%,0.3453%,43.1047%,#NAME?,34.25%,#NAME?,-0.1127%
2/4/93,215.76,225.36,12.29,0.99%,,,0.09%,1.09%,,2/4/93,12.12%,1.0453%,0.9326%,77.8426%,#NAME?,79.69%,#NAME?,0.9927%
2/5/93,215.00,224.98,12.90,0.18%,,,-0.35%,-0.17%,,2/5/93,12.29%,0.0928%,1.0855%,51.9181%,#NAME?,51.44%,#NAME?,0.1836%
2/8/93,213.93,224.93,13.22,0.48%,,,-0.50%,-0.02%,,2/8/93,12.90%,-0.3522%,-0.1686%,38.6782%,#NAME?,22.68%,#NAME?,0.4755%
2/9/93,212.39,223.87,13.48,0.25%,,,-0.72%,-0.47%,,2/9/93,13.22%,-0.4977%,-0.0222%,34.5515%,#NAME?,21.88%,#NAME?,0.2486%
2/10/93,213.14,224.14,13.43,-0.23%,,,0.35%,0.12%,,2/10/93,13.48%,-0.7199%,-0.4713%,28.5997%,#NAME?,13.12%,#NAME?,-0.2325%
2/11/93,213.69,224.83,12.69,0.05%,,,0.26%,0.31%,,2/11/93,13.43%,0.3531%,0.1206%,59.6599%,#NAME?,47.78%,#NAME?,0.0498%
2/12/93,212.12,223.58,12.38,0.18%,,,-0.73%,-0.56%,,2/12/93,12.69%,0.2580%,0.3078%,56.8599%,#NAME?,51.59%,#NAME?,0.1787%
2/15/93,212.12,223.58,12.38,0.00%,,,0.00%,0.00%,,2/15/93,12.38%,-0.7347%,-0.5560%,28.2199%,#NAME?,12.13%,#NAME?,0.0000%
2/16/93,206.11,218.53,15.76,0.57%,,,-2.83%,-2.26%,,2/16/93,12.38%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.5746%
2/17/93,204.99,218.43,15.90,0.50%,,,-0.54%,-0.05%,,2/17/93,15.76%,-2.8333%,-2.2587%,1.5390%,#NAME?,0.84%,#NAME?,0.4976%
2/18/93,204.42,217.88,15.56,0.03%,,,-0.28%,-0.25%,,2/18/93,15.90%,-0.5434%,-0.0458%,33.2885%,#NAME?,20.61%,#NAME?,0.0263%
2/19/93,203.78,220.62,15.02,1.57%,,,-0.31%,1.26%,,2/19/93,15.56%,-0.2781%,-0.2518%,40.8371%,#NAME?,22.43%,#NAME?,1.5707%
2/22/93,202.45,222.21,14.70,1.37%,,,-0.65%,0.72%,,2/22/93,15.02%,-0.3131%,1.2576%,39.8140%,#NAME?,31.54%,#NAME?,1.3734%
2/23/93,203.34,221.12,15.04,-0.93%,,,0.44%,-0.49%,,2/23/93,14.70%,-0.6527%,0.7207%,30.3482%,#NAME?,20.77%,#NAME?,-0.9301%
2/24/93,207.33,223.24,14.72,-1.00%,,,1.96%,0.96%,,2/24/93,15.04%,0.4396%,-0.4905%,62.1650%,#NAME?,22.73%,#NAME?,-1.0035%
2/25/93,207.90,224.38,13.76,0.24%,,,0.27%,0.51%,,2/25/93,14.72%,1.9622%,0.9588%,92.7687%,#NAME?,85.38%,#NAME?,0.2357%
2/26/93,208.52,224.70,13.16,-0.16%,,,0.30%,0.14%,,2/26/93,13.76%,0.2749%,0.5107%,57.3598%,#NAME?,56.01%,#NAME?,-0.1556%
3/1/93,208.24,224.14,13.60,-0.11%,,,-0.13%,-0.25%,,3/1/93,13.16%,0.2982%,0.1426%,58.0480%,#NAME?,47.60%,#NAME?,-0.1149%
3/2/93,211.10,226.41,12.49,-0.36%,,,1.37%,1.01%,,3/2/93,13.60%,-0.1343%,-0.2492%,45.0958%,#NAME?,25.01%,#NAME?,-0.3607%
3/3/93,211.98,227.34,13.13,-0.01%,,,0.42%,0.41%,,3/3/93,12.49%,1.3734%,1.0128%,84.4818%,#NAME?,84.03%,#NAME?,-0.0061%
3/4/93,210.66,226.80,13.44,0.39%,,,-0.62%,-0.24%,,3/4/93,13.13%,0.4169%,0.4108%,61.5105%,#NAME?,58.35%,#NAME?,0.3852%
3/5/93,209.99,226.38,14.08,0.13%,,,-0.32%,-0.19%,,3/5/93,13.44%,-0.6227%,-0.2375%,31.1430%,#NAME?,16.91%,#NAME?,0.1329%
3/8/93,213.89,229.92,16.22,-0.29%,,,1.86%,1.56%,,3/8/93,14.08%,-0.3180%,-0.1852%,39.6695%,#NAME?,23.03%,#NAME?,-0.2935%
3/9/93,213.48,230.51,14.17,0.45%,,,-0.19%,0.26%,,3/9/93,16.22%,1.8572%,1.5637%,91.6137%,#NAME?,91.88%,#NAME?,0.4483%
3/10/93,215.04,231.14,13.91,-0.46%,,,0.73%,0.27%,,3/10/93,14.17%,-0.1917%,0.2566%,43.3858%,#NAME?,33.85%,#NAME?,-0.4574%
3/11/93,214.21,229.84,14.26,-0.18%,,,-0.39%,-0.56%,,3/11/93,13.91%,0.7307%,0.2733%,70.1773%,#NAME?,59.19%,#NAME?,-0.1765%
3/12/93,212.64,227.90,15.66,-0.11%,,,-0.73%,-0.84%,,3/12/93,14.26%,-0.3860%,-0.5624%,37.7076%,#NAME?,15.48%,#NAME?,-0.1111%
3/15/93,213.29,228.69,14.74,0.04%,,,0.31%,0.35%,,3/15/93,15.66%,-0.7329%,-0.8441%,28.2654%,#NAME?,9.53%,#NAME?,0.0410%
3/16/93,212.55,229.35,14.51,0.64%,,,-0.35%,0.29%,,3/16/93,14.74%,0.3057%,0.3466%,58.2679%,#NAME?,53.87%,#NAME?,0.6355%
3/17/93,210.77,227.97,14.53,0.24%,,,-0.84%,-0.60%,,3/17/93,14.51%,-0.3469%,0.2886%,38.8314%,#NAME?,28.77%,#NAME?,0.2357%
3/18/93,211.98,229.92,14.17,0.28%,,,0.57%,0.86%,,3/18/93,14.53%,-0.8375%,-0.6017%,25.6604%,#NAME?,10.83%,#NAME?,0.2813%
3/19/93,210.58,229.59,13.23,0.52%,,,-0.66%,-0.14%,,3/19/93,14.17%,0.5741%,0.8554%,65.9570%,#NAME?,69.89%,#NAME?,0.5169%
3/22/93,209.59,229.12,13.66,0.27%,,,-0.47%,-0.20%,,3/22/93,13.23%,-0.6604%,-0.1435%,30.1435%,#NAME?,17.33%,#NAME?,0.2654%
3/23/93,209.50,229.00,13.02,-0.01%,,,-0.04%,-0.05%,,3/23/93,13.66%,-0.4701%,-0.2047%,35.3209%,#NAME?,19.90%,#NAME?,-0.0094%
3/24/93,208.86,228.95,12.44,0.28%,,,-0.31%,-0.02%,,3/24/93,13.02%,-0.0429%,-0.0524%,47.8341%,#NAME?,32.52%,#NAME?,0.2837%
3/25/93,210.38,230.27,12.08,-0.15%,,,0.73%,0.58%,,3/25/93,12.44%,-0.3055%,-0.0218%,40.0353%,#NAME?,26.42%,#NAME?,-0.1512%
3/26/93,208.80,229.67,12.21,0.49%,,,-0.75%,-0.26%,,3/26/93,12.08%,0.7278%,0.5765%,70.0991%,#NAME?,68.68%,#NAME?,0.4905%
3/29/93,210.33,230.52,12.63,-0.36%,,,0.73%,0.37%,,3/29/93,12.21%,-0.7510%,-0.2606%,27.8054%,#NAME?,14.82%,#NAME?,-0.3627%
3/30/93,211.95,230.45,12.23,-0.80%,,,0.77%,-0.03%,,3/30/93,12.63%,0.7328%,0.3701%,70.2299%,#NAME?,62.84%,#NAME?,-0.8006%
3/31/93,212.06,230.63,12.53,0.03%,,,0.05%,0.08%,,3/31/93,12.23%,0.7702%,-0.0304%,71.2018%,#NAME?,43.66%,#NAME?,0.0262%
