timestamp,Price,prediction
1993-02-16 00:00:00,206.11,212.8492985753012
1993-02-17 00:00:00,204.99,210.82750900271083
1993-02-18 00:00:00,204.42,209.07625630189756
1993-02-19 00:00:00,203.78,207.67937941132828
1993-02-22 00:00:00,202.45,206.50956558792979
1993-02-23 00:00:00,203.34,205.29169591155082
1993-02-24 00:00:00,207.33,204.70618713808557
1993-02-25 00:00:00,207.9,205.4933309966599
1993-02-26 00:00:00,208.52,206.21533169766192
1993-03-01 00:00:00,208.24,206.90673218836332
1993-03-02 00:00:00,211.1,207.30671253185432
1993-03-03 00:00:00,211.98,208.444698772298
1993-03-04 00:00:00,210.66,209.5052891406086
1993-03-05 00:00:00,209.99,209.85170239842603
1993-03-08 00:00:00,213.89,209.89319167889823
1993-03-09 00:00:00,213.48,211.09223417522873
1993-03-10 00:00:00,215.04,211.80856392266008
1993-03-11 00:00:00,214.21,212.77799474586206
1993-03-12 00:00:00,212.64,213.20759632210343
1993-03-15 00:00:00,213.29,213.0373174254724
1993-03-16 00:00:00,212.55,213.11312219783065
1993-03-17 00:00:00,210.77,212.94418553848146
1993-03-18 00:00:00,211.98,212.29192987693702
1993-03-19 00:00:00,210.58,212.1983509138559
1993-03-22 00:00:00,209.59,211.71284563969914
1993-03-23 00:00:00,209.5,211.07599194778936
1993-03-24 00:00:00,208.86,210.60319436345253
1993-03-25 00:00:00,210.38,210.0802360544168
1993-03-26 00:00:00,208.8,210.17016523809176
1993-03-29 00:00:00,210.33,209.75911566666423
1993-03-30 00:00:00,211.95,209.93038096666493
1993-03-31 00:00:00,212.06,210.53626667666543
1993-04-01 00:00:00,211.05,210.99338667366578
1993-04-02 00:00:00,205.84,211.01037067156602
1993-04-05 00:00:00,205.52,209.45925947009619
1993-04-06 00:00:00,203.67,208.27748162906732
1993-04-07 00:00:00,203.95,206.89523714034712
1993-04-08 00:00:00,202.78,206.011665998243
1993-04-09 00:00:00,202.78,205.04216619877008
1993-04-12 00:00:00,206.14,204.36351633913904
1993-04-13 00:00:00,206.34,204.8964614373973
1993-04-14 00:00:00,206.01,205.32952300617808
1993-04-15 00:00:00,205.75,205.53366610432465
1993-04-16 00:00:00,204.85,205.59856627302725
1993-04-19 00:00:00,204.81,205.37399639111908
1993-04-20 00:00:00,204.25,205.20479747378334
1993-04-21 00:00:00,204.31,204.91835823164834
1993-04-22 00:00:00,202.18,204.73585076215383
1993-04-23 00:00:00,200.99,203.96909553350767
1993-04-26 00:00:00,199.81,203.07536687345535
1993-04-27 00:00:00,202.65,202.0957568114187
1993-04-28 00:00:00,202.49,202.2620297679931
1993-04-29 00:00:00,202.64,202.33042083759517
1993-04-30 00:00:00,203.49,202.42329458631662
1993-05-03 00:00:00,205.16,202.74330621042162
1993-05-04 00:00:00,205.75,203.46831434729512
1993-05-05 00:00:00,206.88,204.15282004310657
1993-05-06 00:00:00,206.32,204.97097403017457
1993-05-07 00:00:00,206.19,205.37568182112219
1993-05-10 00:00:00,206.42,205.61997727478553
1993-05-11 00:00:00,206.85,205.85998409234983
1993-05-12 00:00:00,206.45,206.15698886464486
1993-05-13 00:00:00,203.69,206.2448922052514
