jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|rlg_price:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|date_weekend:radius,  modelParams|sensorParams|encoders|date_timeOfDay:radius,  modelParams|sensorParams|encoders|date_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1, 30, 180, 360]:window=1000:field=rlg_price,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1, 30, 180, 360]:window=1000:field=rlg_price, 
1013,  2195,  completed,  eof,  2015-05-31 17:07:46,  2015-05-31 17:10:59,  193,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|date_weekend:radius_1.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  5932,  0.1,  12,  16,  None,  5,  1,  None,  None,  521,  0.0003,  136.571384178,  17.7673801878, 
1013,  2196,  completed,  eof,  2015-05-31 17:08:10,  2015-05-31 17:13:06,  296,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|rlg_price:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  5932,  0.1,  12,  16,  521,  5,  None,  None,  None,  521,  0.0003,  135.366797646,  17.610668392, 
1013,  2201,  completed,  eof,  2015-05-31 17:10:09,  2015-05-31 17:12:32,  143,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|date_dayOfWeek:radius_4.75.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  5932,  0.025075,  10,  13,  None,  2,  None,  None,  4.75,  151,  0.075075,  109.360436723,  14.2273468814, 
1013,  2202,  completed,  eof,  2015-05-31 17:10:42,  2015-05-31 17:13:12,  150,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|date_timeOfDay:radius_9.125.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  5932,  0.025075,  10,  13,  None,  2,  None,  9.125,  None,  151,  0.075075,  160.232294288,  20.8455681117, 
1013,  2206,  completed,  eof,  2015-05-31 17:10:59,  2015-05-31 17:13:35,  156,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|date_weekend:radius_1.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  5932,  0.025075,  10,  13,  None,  2,  1,  None,  None,  151,  0.075075,  135.790555442,  17.6657975534, 
1013,  2208,  completed,  eof,  2015-05-31 17:12:32,  2015-05-31 17:15:02,  150,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|rlg_price:n_147.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  5932,  0.025075,  10,  13,  147,  2,  None,  None,  None,  151,  0.075075,  125.291068371,  16.2998570989, 
1013,  2209,  completed,  eof,  2015-05-31 17:13:06,  2015-05-31 17:15:12,  126,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|date_dayOfWeek:radius_2.25.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  5932,  0.075025,  11,  15,  None,  4,  None,  None,  2.25,  398,  0.025225,  115.431878001,  15.0172166343, 
1013,  2210,  completed,  eof,  2015-05-31 17:13:12,  2015-05-31 17:15:28,  136,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|date_timeOfDay:radius_3.375.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  5932,  0.075025,  11,  15,  None,  4,  None,  3.375,  None,  398,  0.025225,  115.830824165,  15.0691179034, 
1013,  2214,  completed,  eof,  2015-05-31 17:13:35,  2015-05-31 17:15:41,  126,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|date_weekend:radius_1.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  5932,  0.075025,  11,  15,  None,  4,  1,  None,  None,  398,  0.025225,  136.715733355,  17.7861594272, 
1013,  2215,  completed,  eof,  2015-05-31 17:15:02,  2015-05-31 17:17:14,  132,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|rlg_price:n_396.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  5932,  0.075025,  11,  15,  396,  4,  None,  None,  None,  398,  0.025225,  67.7583334853,  8.81508289001, 
1013,  2216,  completed,  eof,  2015-05-31 17:15:12,  2015-05-31 17:16:38,  86,  modelParams|clParams|alpha_0.06004.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|date_dayOfWeek:radius_4.25.modelParams|sensorParams|encoders|_classifierInput|n_225.modelParams|spParams|synPermInactiveDec_0.06012,  5932,  0.06004,  11,  16,  None,  3,  None,  None,  4.25,  225,  0.06012,  97.9110624978,  12.7378299815, 
